PROVINCIA,LOCALIDAD,LATITUD,LONGITUD,INAUGURACION,NORMA,NUMERO
Buenos Aires,25 de Mayo,-35.45213889,-60.17388889,9/3/1989,Decreto,325
Buenos Aires,9 de Julio,-35.47080556,-60.90519444,13/7/1982,Decreto,89
Buenos Aires,Adolfo Gonzalez Chaves,-38.03375,-60.09841667,21/7/2014,Decreto,1138
Buenos Aires,Adolfo Gonzalez Chaves,-38.03283333,-60.09852778,21/7/2014,Decreto,1138
Buenos Aires,Adrogue,-34.79519444,-58.39341667,22/7/2014,Decreto,1163
Buenos Aires,Alberdi,-34.43886111,-61.81163889,21/7/2014,Decreto,1138
Buenos Aires,Alberdi,-34.44875,-61.83,21/7/2014,Decreto,1138
Buenos Aires,Alberti,-35.03158333,-60.28025,21/7/2014,Decreto,1138
Buenos Aires,Alberti,-35.03158333,-60.28025,21/7/2014,Decreto,1138
Buenos Aires,Alem,-34.51375,-61.37861111,21/7/2014,Decreto,1138
Buenos Aires,Avellaneda,-34.65847222,-58.37077778,9/2/2001,Decreto,142
Buenos Aires,Avellaneda,-34.66216667,-58.36330556,10/9/1997,Ley,24875
Buenos Aires,Azul,-36.80788889,-59.82480556,21/7/2014,Decreto,1138
Buenos Aires,Azul,-36.77747222,-59.86341667,21/7/2014,Decreto,1138
Buenos Aires,Azul,-36.77383333,-59.85138889,21/7/2014,Decreto,1138
Buenos Aires,Azul,-36.77786111,-59.86394444,21/6/2011,Decreto,837
Buenos Aires,Bahia Blanca,-38.73002778,-62.27875,19/11/2014,Decreto,2181
Buenos Aires,Bahia Blanca,-38.89352778,-62.09761111,8/11/1961,Decreto,10525
Buenos Aires,Bahia Blanca,-38.71861111,-62.26708333,2/10/2008,Decreto,1592
Buenos Aires,Bahia Blanca,-38.71927778,-62.26797222,8/1/2001,Decreto,12
Buenos Aires,Bahia Blanca,-38.71844444,-62.268,24/10/1997,Decreto,1110
Buenos Aires,Bahia Blanca,-38.78725,-62.26616667,19/11/2014,Decreto,2181
Buenos Aires,Bahia Blanca,-38.75483333,-62.25480556,19/11/2014,Decreto,2181
Buenos Aires,Bahia Blanca,-38.72152778,-62.25455556,19/11/2014,Decreto,2181
Buenos Aires,Bahia Blanca,-38.72886111,-62.25872222,10/8/2004,Decreto,1020
Buenos Aires,Bahia Blanca,-38.72977778,-62.27625,19/11/2014,Decreto,2181
Buenos Aires,Bahia Blanca,-38.7185,-62.26466667,10/8/2004,Decreto,1020
Buenos Aires,Bahia Blanca,-38.72986111,-62.27711111,19/11/2014,Decreto,2181
Buenos Aires,Bahia Blanca,-38.70525,-62.24863889,26/5/1982,Decreto,1035
Buenos Aires,Bahia Blanca,-38.71833333,-62.26405556,10/8/2004,Decreto,1020
Buenos Aires,Bahia Blanca,-38.71766667,-62.26552778,10/8/2004,Decreto,1020
Buenos Aires,Bahia Blanca,-38.72772222,-62.27816667,19/11/2014,Decreto,2181
Buenos Aires,Bahia Blanca,-38.71497222,-62.25994444,21/6/2011,Decreto,837
Buenos Aires,Bahia Blanca - Ingeniero White,-38.78813889,-62.26216667,11/4/2002,Ley,25580
Buenos Aires,Balcarce,-37.83197222,-58.27338889,21/7/2014,Decreto,1138
Buenos Aires,Balcarce,-37.8465,-58.25552778,21/7/2014,Decreto,1138
Buenos Aires,Banfield,-34.74863889,-58.40608333,9/10/2007,Decreto,1380
Buenos Aires,Baradero,-33.80930556,-59.49294444,29/11/1950,Decreto,25403
Buenos Aires,Benito Juarez,-37.62175,-60.30966667,20/3/1997,Decreto,262
Buenos Aires,Berisso,-34.86083333,-57.88980556,27/6/2005,Decreto,735
Buenos Aires,Bernal,-34.70252778,-58.28713889,10/12/1945,Decreto,30838
Buenos Aires,Bolivar,-36.24363889,-61.12952778,13/7/1943,Decreto,2478
Buenos Aires,Cachari,-36.37697222,-59.50519444,21/7/2014,Decreto,1138
Buenos Aires,Cañuelas,-34.96144444,-58.64941667,20/3/1997,Decreto,262
Buenos Aires,Cañuelas,-35.03547222,-58.66705556,14/8/1979,Decreto,2015
Buenos Aires,Capilla del Señor,-34.28719444,-59.10183333,21/9/1994,Decreto,1648
Buenos Aires,Carhue,-37.16905556,-62.78136111,21/7/2014,Decreto,1138
Buenos Aires,Carhue,-37.14519444,-62.78552778,21/7/2014,Decreto,1138
Buenos Aires,Carhue,-37.18033333,-62.76119444,21/7/2014,Decreto,1138
Buenos Aires,Carlos Casares,-35.62258333,-61.36535556,23/5/1983,Decreto,1237
Buenos Aires,Carmen de Patagones,-40.80352778,-62.98436111,21/7/2003,Decreto,401
Buenos Aires,Carmen de Patagones,-40.802,-62.98475,21/7/2003,Decreto,401
Buenos Aires,Carmen de Patagones,-40.80325,-62.98577778,21/7/2003,Decreto,401
Buenos Aires,Carmen de Patagones,-40.80383333,-62.98411111,21/7/2003,Decreto,401
Buenos Aires,Carmen de Patagones,-40.80286111,-62.98533333,21/7/2003,Decreto,401
Buenos Aires,Carmen de Patagones,-40.80375,-62.98402778,21/7/2003,Decreto,401
Buenos Aires,Carmen de Patagones,-40.80325,-62.98577778,21/7/2003,Decreto,401
Buenos Aires,Carmen de Patagones,-40.80430556,-62.985,21/7/2003,Decreto,401
Buenos Aires,Carmen de Patagones,-40.80247222,-62.98047222,21/7/2003,Decreto,401
Buenos Aires,Carmen de Patagones,-40.80325,-62.98577778,21/7/2003,Decreto,401
Buenos Aires,Carmen de Patagones,-40.81108333,-62.96894444,17/10/1960,Decreto,12641
Buenos Aires,Carmen de Patagones,-40.80236111,-62.98391667,21/7/2003,Decreto,401
Buenos Aires,Carmen de Patagones,-40.80236111,-62.98419444,12/6/1962,Decreto,5407
Buenos Aires,Carmen de Patagones,-40.80219444,-62.98480556,21/5/1942,Decreto,120411
Buenos Aires,Carmen de Patagones,-40.80122222,-62.9825,21/7/2003,Decreto,401
Buenos Aires,Carmen de Patagones,-40.80236111,-62.98391667,21/7/2003,Decreto,401
Buenos Aires,Carmen de Patagones,-40.80125,-62.983,21/7/2003,Decreto,401
Buenos Aires,Casbas,-36.75786111,-62.50333333,21/7/2014,Decreto,1138
Buenos Aires,Chapadmalal,-38.20558333,-57.69222222,24/6/2013,Decreto,784
Buenos Aires,Chascomus,-35.57944444,-58.00863889,9/10/1939,Ley,12622
Buenos Aires,Chascomus,-35.58325,-58.00683333,22/6/1962,Decreto,5674
Buenos Aires,Chascomus,-35.57836111,-58.01377778,21/7/2014,Decreto,1138
Buenos Aires,Chillar,-37.31347222,-59.985,21/7/2014,Decreto,1138
Buenos Aires,Chillar,-37.30816667,-59.99883333,21/7/2014,Decreto,1138
Buenos Aires,Chivilcoy,-34.99541667,-59.78888889,8/3/2010,Decreto,332
Buenos Aires,Chivilcoy,-34.89694444,-60.01891667,8/3/2010,Decreto,332
Buenos Aires,Chivilcoy,-34.89802778,-60.01952778,8/3/2010,Decreto,332
Buenos Aires,Chivilcoy,-34.89694444,-60.01891667,8/3/2010,Decreto,332
Buenos Aires,Chivilcoy,-34.89736111,-60.02052778,8/3/2010,Decreto,332
Buenos Aires,Ciudadela,-34.63091667,-58.54327778,20/8/1996,Decreto,974
Buenos Aires,Cnel. Rosales y Monte Hermoso,-38.99134444,-61.55814444,22/12/2015,Ley,27220
Buenos Aires,Coronel Pringles,-37.98522222,-61.34975,21/7/2014,Decreto,1138
Buenos Aires,Coronel Pringles,-37.97641667,-61.32988889,21/7/2014,Decreto,1138
Buenos Aires,Coronel Pringles,-37.99405556,-61.34472222,21/7/2014,Decreto,1138
Buenos Aires,Delta del Parana,-34.38305556,-58.57680556,8/6/1966,Decreto,4370
Buenos Aires,Dolores,-36.31538889,-57.67561111,9/10/1939,Ley,12621
Buenos Aires,El Dorado,-34.65361111,-61.58461111,21/7/2014,Decreto,1138
Buenos Aires,El Palomar,-34.61761111,-58.58819444,22/7/2014,Decreto,1163
Buenos Aires,El Palomar,-34.62905556,-58.57519444,10/8/2015,Decreto,1616
Buenos Aires,Ensenada,-34.84077778,-57.91836111,22/7/2014,Decreto,1163
Buenos Aires,Ensenada,-34.84580556,-57.92413889,21/5/1942,Decreto,120411
Buenos Aires,Ensenada,-34.84558333,-57.92197222,19/11/2014,Decreto,2183
Buenos Aires,Ensenada,-34.85830556,-57.89758333,19/11/2014,Decreto,2183
